id,query,intent_json,input_prompt,target_json
3717,dangal type movie,"{""similar_to"": ""Dangal""}","Convert the user query into a valid JSON intent object.
Return only valid JSON, with no markdown fences and no extra text.

Query: dangal type movie
JSON:","{""similar_to"": ""Dangal""}"
3780,mammootty superhit movies,"{""actor"": ""Mammootty"", ""rating_type"": ""hit""}","Convert the user query into a valid JSON intent object.
Return only valid JSON, with no markdown fences and no extra text.

Query: mammootty superhit movies
JSON:","{""actor"": ""Mammootty"", ""rating_type"": ""hit""}"
136,what to watch on MX Player,"{""platform"": ""MX Player""}","Convert the user query into a valid JSON intent object.
Return only valid JSON, with no markdown fences and no extra text.

Query: what to watch on MX Player
JSON:","{""platform"": ""MX Player""}"
4481,best bhojpuri crime,"{""genre"": ""Crime"", ""language"": ""Bhojpuri"", ""rating_type"": ""top rated""}","Convert the user query into a valid JSON intent object.
Return only valid JSON, with no markdown fences and no extra text.

Query: best bhojpuri crime
JSON:","{""genre"": ""Crime"", ""language"": ""Bhojpuri"", ""rating_type"": ""top rated""}"
1438,Netflix movies,"{""platform"": ""Netflix""}","Convert the user query into a valid JSON intent object.
Return only valid JSON, with no markdown fences and no extra text.

Query: Netflix movies
JSON:","{""platform"": ""Netflix""}"
48,ranbir 2018 movie,"{""actor"": ""Ranbir Kapoor"", ""year"": 2018}","Convert the user query into a valid JSON intent object.
Return only valid JSON, with no markdown fences and no extra text.

Query: ranbir 2018 movie
JSON:","{""actor"": ""Ranbir Kapoor"", ""year"": 2018}"
1361,MX Player supernatural movies,"{""genre"": ""Supernatural"", ""platform"": ""MX Player""}","Convert the user query into a valid JSON intent object.
Return only valid JSON, with no markdown fences and no extra text.

Query: MX Player supernatural movies
JSON:","{""genre"": ""Supernatural"", ""platform"": ""MX Player""}"
735,telugu lo 2021,"{""language"": ""Telugu"", ""year"": 2021}","Convert the user query into a valid JSON intent object.
Return only valid JSON, with no markdown fences and no extra text.

Query: telugu lo 2021
JSON:","{""language"": ""Telugu"", ""year"": 2021}"
1535,drishyam 2 ke jaise aur koi hai kya,"{""similar_to"": ""Drishyam 2""}","Convert the user query into a valid JSON intent object.
Return only valid JSON, with no markdown fences and no extra text.

Query: drishyam 2 ke jaise aur koi hai kya
JSON:","{""similar_to"": ""Drishyam 2""}"
2005,duggu ki films,"{""actor"": ""Hrithik Roshan""}","Convert the user query into a valid JSON intent object.
Return only valid JSON, with no markdown fences and no extra text.

Query: duggu ki films
JSON:","{""actor"": ""Hrithik Roshan""}"
